dataset,aggregation,MRR,h@1,h@10,time
KG20C,canonical,0.239401,0.166219,0.375537,2448.914000
KG20C,dep_scale_surprisal_init,0.232402,0.158566,0.373255,404.189009
KG20C,ensemble_best_test,0.239769,0.166219,0.382116,923.459358
KG20C,ensemble_best_valid,0.235725,0.160849,0.377417,853.023579
KG20C,ensemble_safe_valid,0.235325,0.161117,0.377014,861.572659
KG20C,eval-maxplus,0.214810,0.142857,0.360768,2.014791
KG20C,eval-noisyor,0.229772,0.156686,0.375940,1.995829
KG20C,init_dep_with_lift,0.233655,0.160043,0.374329,867.444159
KG20C,pos_auto_ratio,0.233439,0.161386,0.373523,830.621033
KG20C,redundancy,0.229664,0.156821,0.372449,787.548760
KG20C,sign_constraint_dependency,0.233496,0.159640,0.375940,861.828913
KG20C,structural_dep_scale,0.232600,0.159640,0.371778,819.294428
KG20C,structural_none,0.232779,0.159909,0.371241,750.311100
KG20C,structural_none__stage1,0.228299,0.155344,0.368287,750.311100
KG20C,structural_none_lift_k1,0.232688,0.159640,0.371375,769.781131
KG20C,structural_none_lift_k4,0.232688,0.159640,0.371375,773.897928
KG20C,structural_none_mix_k1,0.232688,0.159640,0.371375,755.465530
KG20C,structural_none_mix_k2,0.232688,0.159640,0.371375,780.464503
KG20C,structural_none_mix_k4,0.232688,0.159640,0.371375,787.499952
KG20C,structural_none_ratio_k1,0.232719,0.159237,0.372449,763.871804
KG20C,structural_none_ratio_k2,0.232735,0.159237,0.372449,767.101455
KG20C,structural_none_ratio_k4,0.232688,0.159640,0.371375,786.707229
KG20C,structural_r2d3,0.227091,0.155478,0.368018,716.698232
KG20C,structural_r2d3__stage1,0.226728,0.154270,0.367213,716.698232
KG20C,structural_r3d6,0.228288,0.156418,0.368824,744.315426
KG20C,structural_r3d6__stage1,0.227693,0.154672,0.368555,744.315426
KG20C,structural_rd,0.227670,0.156686,0.367884,815.499091
KG20C,structural_rd__stage1,0.227177,0.154538,0.368690,815.499091
KG20C,structural_rule_mask,0.232842,0.159237,0.373926,791.336230
KG20C,structural_surprisal_init,0.231997,0.158432,0.373255,767.924067
KG20C,synergy,0.232885,0.159909,0.371643,748.342217
KG20C,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_0,0.232648,0.159909,0.372718,1129.124419
KG20C,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,0.232708,0.159774,0.372718,1174.994598
KG20C,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_0,0.233927,0.161117,0.373120,1049.195124
KG20C,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,0.233952,0.160983,0.372986,1081.735457
KG20C,tg_r2d3__pos_auto_ratio__ri_surprisal__dn_none__dl1_0,0.231906,0.159372,0.372852,1175.256386
KG20C,tg_r2d3__pos_auto_ratio__ri_surprisal__dn_none__dl1_1e-5,0.232542,0.159640,0.373389,1252.441281
KG20C,tg_r2d3__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_0,0.232930,0.159103,0.374597,1109.246766
KG20C,tg_r2d3__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_1e-5,0.233248,0.159774,0.375000,1130.970003
KG20C,tg_r2d3__pos_auto_sqrt__ri_conf__dn_none__dl1_0,0.227261,0.155881,0.367750,1061.817685
KG20C,tg_r2d3__pos_auto_sqrt__ri_conf__dn_none__dl1_1e-5,0.227338,0.155881,0.368018,1081.632946
KG20C,tg_r2d3__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_0,0.227599,0.156015,0.369629,951.616674
KG20C,tg_r2d3__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,0.227446,0.156149,0.368958,990.484581
KG20C,tg_r2d3__pos_auto_sqrt__ri_surprisal__dn_none__dl1_0,0.226703,0.153867,0.368824,1099.258146
KG20C,tg_r2d3__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,0.227036,0.154404,0.369361,1123.371917
KG20C,tg_r2d3__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_0,0.227454,0.154807,0.370301,995.036679
KG20C,tg_r2d3__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_1e-5,0.227238,0.154270,0.370435,1004.030582
KG20C,tg_r3d6__pos_auto_ratio__ri_conf__dn_none__dl1_0,0.232061,0.159506,0.371643,1123.996410
KG20C,tg_r3d6__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,0.232844,0.159774,0.374194,1207.930703
KG20C,tg_r3d6__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_0,0.233563,0.160983,0.373523,1032.571221
KG20C,tg_r3d6__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,0.233889,0.160849,0.375000,1061.642779
KG20C,tg_r3d6__pos_auto_ratio__ri_surprisal__dn_none__dl1_0,0.230635,0.158432,0.371241,1108.549310
KG20C,tg_r3d6__pos_auto_ratio__ri_surprisal__dn_none__dl1_1e-5,0.232417,0.159909,0.374060,1195.053038
KG20C,tg_r3d6__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_0,0.232316,0.158566,0.374597,988.856409
KG20C,tg_r3d6__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_1e-5,0.232689,0.159103,0.374597,1024.815980
KG20C,tg_r3d6__pos_auto_sqrt__ri_conf__dn_none__dl1_0,0.228288,0.156418,0.368824,1031.083381
KG20C,tg_r3d6__pos_auto_sqrt__ri_conf__dn_none__dl1_1e-5,0.228266,0.156552,0.369227,1070.200595
KG20C,tg_r3d6__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_0,0.228597,0.156686,0.370838,872.454092
KG20C,tg_r3d6__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,0.228575,0.156418,0.370435,887.023362
KG20C,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_0,0.228111,0.155747,0.370032,972.370101
KG20C,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,0.227858,0.155075,0.370166,1040.446800
KG20C,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_0,0.228666,0.156149,0.371509,896.677493
KG20C,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_1e-5,0.228367,0.155612,0.371778,900.291942
KG20C,tg_rd__pos_auto_ratio__ri_conf__dn_none__dl1_0,0.231975,0.158700,0.372583,1264.294352
KG20C,tg_rd__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,0.232490,0.159640,0.374731,1258.603839
KG20C,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_0,0.232608,0.159640,0.375134,1142.368292
KG20C,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,0.232043,0.158566,0.375000,1341.758977
KG20C,tg_rd__pos_auto_ratio__ri_surprisal__dn_none__dl1_0,0.229822,0.157223,0.370435,1207.325822
KG20C,tg_rd__pos_auto_ratio__ri_surprisal__dn_none__dl1_1e-5,0.230674,0.158163,0.371241,1208.267071
KG20C,tg_rd__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_0,0.229985,0.156686,0.370435,1109.147001
KG20C,tg_rd__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_1e-5,0.231119,0.158029,0.372583,1288.987775
KG20C,tg_rd__pos_auto_sqrt__ri_conf__dn_none__dl1_0,0.227670,0.156686,0.367884,1337.326996
KG20C,tg_rd__pos_auto_sqrt__ri_conf__dn_none__dl1_1e-5,0.228235,0.157089,0.368555,1310.602583
KG20C,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_0,0.228559,0.156821,0.369629,1140.237633
KG20C,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,0.228326,0.156955,0.370166,1249.524088
KG20C,tg_rd__pos_auto_sqrt__ri_surprisal__dn_none__dl1_0,0.227803,0.155478,0.369361,971.392116
KG20C,tg_rd__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,0.227794,0.155478,0.369361,990.213629
KG20C,tg_rd__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_0,0.227897,0.155478,0.369092,904.946096
KG20C,tg_rd__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_1e-5,0.228301,0.155747,0.370704,903.628722
codex-m,canonical,0.345537,0.276840,0.480555,7890.144000
codex-m,dep_scale_surprisal_init,0.342372,0.273834,0.476142,1732.085883
codex-m,ensemble_best_test,0.349667,0.283629,0.479827,3693.856340
codex-m,ensemble_best_valid,0.346569,0.278683,0.478955,4272.713641
codex-m,ensemble_safe_valid,0.344357,0.275095,0.479536,2711.562708
codex-m,eval-maxplus,0.319487,0.248909,0.455145,118.883764
codex-m,eval-noisyor,0.300655,0.226457,0.447532,118.737096
codex-m,init_dep_with_lift,0.338399,0.268354,0.473620,4585.599521
codex-m,pos_auto_ratio,0.340062,0.268015,0.479682,4506.064691
codex-m,redundancy,0.342124,0.273203,0.477403,4462.561798
codex-m,sign_constraint_dependency,0.341891,0.274028,0.475948,4628.053906
codex-m,structural_dep_scale,0.342975,0.274513,0.477209,2753.374749
codex-m,structural_none,0.342474,0.273058,0.479100,4511.494888
codex-m,structural_none__stage1,0.340835,0.272234,0.475027,4511.494888
codex-m,structural_none_lift_k1,0.342591,0.273252,0.479536,2765.125957
codex-m,structural_none_lift_k4,0.342413,0.273106,0.479342,2846.253936
codex-m,structural_none_mix_k1,0.342588,0.273155,0.479536,2605.870835
codex-m,structural_none_mix_k2,0.342475,0.273009,0.479100,2704.724448
codex-m,structural_none_mix_k4,0.342403,0.273106,0.479342,2823.443807
codex-m,structural_none_ratio_k1,0.342807,0.273834,0.479003,2737.498650
codex-m,structural_none_ratio_k2,0.342864,0.273882,0.479052,2802.045301
codex-m,structural_none_ratio_k4,0.342424,0.273155,0.479342,2818.793251
codex-m,structural_r2d3,0.342941,0.274513,0.478179,4652.251874
codex-m,structural_r2d3__stage1,0.342441,0.274416,0.476627,4652.251874
codex-m,structural_r3d6,0.343299,0.274901,0.478276,4571.907101
codex-m,structural_r3d6__stage1,0.342662,0.274513,0.477354,4571.907101
codex-m,structural_rd,0.342537,0.271215,0.477985,2647.944325
codex-m,structural_rd__stage1,0.341877,0.273737,0.476384,2647.944325
codex-m,structural_rule_mask,0.342114,0.273203,0.475948,2654.728739
codex-m,structural_surprisal_init,0.341896,0.272573,0.478179,2602.093905
codex-m,synergy,0.341465,0.272185,0.478373,4483.387824
codex-m,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_0,0.341125,0.270779,0.479245,3085.650323
codex-m,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,0.341063,0.270730,0.478421,3858.234932
codex-m,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_0,0.340310,0.269518,0.478664,3251.667357
codex-m,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,0.339895,0.269130,0.478373,3469.114448
codex-m,tg_r2d3__pos_auto_ratio__ri_surprisal__dn_none__dl1_0,0.341354,0.271264,0.478421,5087.186415
codex-m,tg_r2d3__pos_auto_ratio__ri_surprisal__dn_none__dl1_1e-5,0.341518,0.271361,0.478567,5524.006637
codex-m,tg_r2d3__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_0,0.341014,0.271070,0.478858,5138.605773
codex-m,tg_r2d3__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_1e-5,0.341085,0.271264,0.478567,5348.501413
codex-m,tg_r2d3__pos_auto_sqrt__ri_conf__dn_none__dl1_0,0.342940,0.274513,0.478712,4893.444492
codex-m,tg_r2d3__pos_auto_sqrt__ri_conf__dn_none__dl1_1e-5,0.343823,0.275773,0.477451,5177.433544
codex-m,tg_r2d3__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_0,0.342796,0.274270,0.477936,4892.282518
codex-m,tg_r2d3__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,0.342906,0.274513,0.477791,4972.077904
codex-m,tg_r2d3__pos_auto_sqrt__ri_surprisal__dn_none__dl1_0,0.342899,0.275095,0.476627,2935.705341
codex-m,tg_r2d3__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,0.343111,0.275192,0.477306,3605.370615
codex-m,tg_r2d3__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_0,0.342783,0.274852,0.478324,3014.150745
codex-m,tg_r2d3__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_1e-5,0.342217,0.274222,0.478324,3186.913020
codex-m,tg_r3d6__pos_auto_ratio__ri_conf__dn_none__dl1_0,0.341067,0.270973,0.478373,2707.766299
codex-m,tg_r3d6__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,0.341264,0.270827,0.478324,3360.058897
codex-m,tg_r3d6__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_0,0.339944,0.269033,0.478324,2776.875884
codex-m,tg_r3d6__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,0.339812,0.269276,0.478227,2891.455025
codex-m,tg_r3d6__pos_auto_ratio__ri_surprisal__dn_none__dl1_0,0.340634,0.270439,0.478373,2799.670810
codex-m,tg_r3d6__pos_auto_ratio__ri_surprisal__dn_none__dl1_1e-5,0.340999,0.270924,0.477500,3450.642072
codex-m,tg_r3d6__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_0,0.340519,0.270633,0.478906,2827.052793
codex-m,tg_r3d6__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_1e-5,0.340405,0.270536,0.478227,3056.017481
codex-m,tg_r3d6__pos_auto_sqrt__ri_conf__dn_none__dl1_0,0.342964,0.274658,0.478373,2911.757357
codex-m,tg_r3d6__pos_auto_sqrt__ri_conf__dn_none__dl1_1e-5,0.343454,0.274949,0.478373,3450.514389
codex-m,tg_r3d6__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_0,0.343468,0.275386,0.478955,3034.200736
codex-m,tg_r3d6__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,0.343159,0.275386,0.477063,3167.357018
codex-m,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_0,0.342861,0.274852,0.478712,3022.466089
codex-m,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,0.342835,0.275337,0.476675,3530.403274
