dataset,selector,coverage,n,mrr_stage1,mrr_stage2,gain_pt
FB15k-237,balanced4_rf,0.02,816,0.1975659694379394,0.3000108017303884,0.5185348093292435
FB15k-237,balanced4_rf,0.04,1633,0.21321089614883304,0.2958297079644101,0.38749807494784205
FB15k-237,balanced4_rf,0.06,2449,0.228294289694116,0.2950778098789754,0.29253259148242594
FB15k-237,balanced4_rf,0.08,3266,0.21736536617553795,0.27666177681265647,0.2727960377516281
FB15k-237,balanced4_rf,0.1,4082,0.22361005698300324,0.27454258181446145,0.22777385560672547
FB15k-237,balanced4_rf,0.12,4898,0.23348874156989993,0.27961280280273515,0.19754297754449524
FB15k-237,balanced4_rf,0.14,5715,0.23806139206000151,0.2796139352596348,0.17454549366476146
FB15k-237,balanced4_rf,0.16,6531,0.2434036865701652,0.2807655528683515,0.153497536642347
FB15k-237,balanced4_rf,0.18,7347,0.24621552450440612,0.27951804178716316,0.13525758519813036
FB15k-237,balanced4_rf,0.2,8164,0.25113964723145676,0.28170795089342676,0.12171835072220771
FB15k-237,balanced4_rf,0.22,8980,0.2554254801509029,0.2831655524570351,0.10860338713954332
FB15k-237,balanced4_rf,0.24,9797,0.2589893375886385,0.2848020358952254,0.0996670308782599
FB15k-237,balanced4_rf,0.26,10613,0.26598896076280654,0.2895508921444755,0.08858236565193445
FB15k-237,balanced4_rf,0.28,11429,0.27509802404600775,0.29621033665895624,0.07674469013786034
FB15k-237,balanced4_rf,0.3,12246,0.27760095457611134,0.2969411807234434,0.06966916297843428
FB15k-237,balanced4_rf,0.32,13062,0.2794010677645662,0.29735202811719535,0.06424800197168645
FB15k-237,balanced4_rf,0.34,13878,0.27759403715336906,0.2944103787877129,0.06057890078183825
FB15k-237,balanced4_rf,0.36,14695,0.27273793452554673,0.2886771722055426,0.05844158682115008
FB15k-237,balanced4_rf,0.38,15511,0.2706121296686649,0.28564584157697476,0.055554464342441046
FB15k-237,balanced4_rf,0.4,16328,0.26696472352636835,0.28117761389758456,0.0532388331442315
FB15k-237,balanced4_rf,0.42,17144,0.2647175271493201,0.27821257128879145,0.050979035218393864
FB15k-237,balanced4_rf,0.44,17960,0.26532718723904364,0.27818884820727524,0.048474719466437666
FB15k-237,balanced4_rf,0.46,18777,0.27061680703769253,0.28275217752939785,0.04484337327213783
FB15k-237,balanced4_rf,0.48,19593,0.274513032188985,0.2861279129421114,0.04231085373436949
FB15k-237,balanced4_rf,0.5,20410,0.27919112770363175,0.290295901408708,0.03977480873555628
FB15k-237,balanced4_rf,0.52,21226,0.2896132002365406,0.3002811959054757,0.03683532263108891
FB15k-237,balanced4_rf,0.54,22042,0.3010364903918604,0.31130199304144535,0.03410052594030133
FB15k-237,balanced4_rf,0.56,22859,0.3155740033667039,0.3254777666369495,0.03138333058042564
FB15k-237,balanced4_rf,0.58,23675,0.3245989744872722,0.3341612584462251,0.029458762074209277
FB15k-237,balanced4_rf,0.6,24491,0.333887540928263,0.34312588282571976,0.02766902254505399
FB15k-237,balanced4_rf,0.62,25308,0.33936321809590675,0.3483031497200169,0.026343254505512448
FB15k-237,balanced4_rf,0.64,26124,0.3489517528109797,0.35761890609714286,0.024837683766724128
FB15k-237,balanced4_rf,0.66,26941,0.35887161658449257,0.36727179493097317,0.02340719621804599
FB15k-237,balanced4_rf,0.68,27757,0.36620246511040133,0.37435668349118667,0.022266967477477362
FB15k-237,balanced4_rf,0.7,28573,0.3718840593383315,0.37978631695663434,0.021249250727129354
FB15k-237,balanced4_rf,0.72,29390,0.37429061286017334,0.38197330947262265,0.020526020018886815
FB15k-237,balanced4_rf,0.74,30206,0.37586382424801523,0.3833394322281341,0.019889139358051366
FB15k-237,balanced4_rf,0.76,31022,0.37448965250034805,0.38176809161847064,0.019435621437139172
FB15k-237,balanced4_rf,0.78,31839,0.3749445099732971,0.3820357381314933,0.01891274033776691
FB15k-237,balanced4_rf,0.8,32655,0.3698485864210624,0.3767624119107181,0.018693664768491214
FB15k-237,balanced4_rf,0.82,33472,0.36759026530226485,0.37432931406021386,0.018333044680624466
FB15k-237,balanced4_rf,0.84,34288,0.3643999837811026,0.37097865387052353,0.018053431345300908
FB15k-237,balanced4_rf,0.86,35104,0.35945911054786184,0.3658848580417676,0.01787615699630507
FB15k-237,balanced4_rf,0.88,35921,0.3572043943960573,0.363481594744895,0.01757313305019914
FB15k-237,balanced4_rf,0.9,36737,0.3552302800810896,0.36134724523198125,0.01721971772647124
FB15k-237,balanced4_rf,0.92,37553,0.35280111982935863,0.3587713484262733,0.016922362944319147
FB15k-237,balanced4_rf,0.94,38370,0.35263383379796415,0.35848648936943855,0.016596976836963373
FB15k-237,balanced4_rf,0.96,39186,0.3540448936698233,0.35945976067206087,0.015294294873483993
FB15k-237,balanced4_rf,0.98,40003,0.3537909052877276,0.3585842366364099,0.013548486625974965
FB15k-237,balanced4_rf,1.0,40819,0.35281198551723697,0.35605305507138224,0.009186393000208737
KG20C,balanced4_rf,0.02,149,0.16259515016407167,0.2629190255614024,0.6170164072919506
KG20C,balanced4_rf,0.04,298,0.1788755961595902,0.26584058112452624,0.4861757938592537
KG20C,balanced4_rf,0.06,447,0.1766544551641278,0.25106309951551214,0.42121012052739926
KG20C,balanced4_rf,0.08,596,0.1798399552636762,0.25026325854756304,0.3915887500118327
